signature,maxTargetSdk,presentAfter,publicAlternatives,returnType,trackingBug
|Landroid/system/Int32Ref;->value:I|,||,||,||,||,||
|Landroid/system/NetlinkSocketAddress;-><init>(II)V|,||,||,||,||,||
|Landroid/system/Os;->setsockoptIfreq(Ljava/io/FileDescriptor;IILjava/lang/String;)V|,||,||,||,||,||
|Landroid/system/OsConstants;-><init>()V|,||,||,||,||,||
|Landroid/system/OsConstants;->ARPHRD_LOOPBACK:I|,||,||,||,||,||
|Landroid/system/OsConstants;->CAP_TO_INDEX(I)I|,||,||,||,||,||
|Landroid/system/OsConstants;->CAP_TO_MASK(I)I|,||,||,||,||,||
|Landroid/system/OsConstants;->EUSERS:I|,||,||,||,||,||
|Landroid/system/OsConstants;->IP_MULTICAST_ALL:I|,||,||,||,||,||
|Landroid/system/OsConstants;->IP_RECVTOS:I|,||,||,||,||,||
|Landroid/system/OsConstants;->MAP_POPULATE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->O_DIRECT:I|,||,||,||,||,||
|Landroid/system/OsConstants;->PR_CAP_AMBIENT:I|,||,||,||,||,||
|Landroid/system/OsConstants;->PR_CAP_AMBIENT_RAISE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RLIMIT_NOFILE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV4_IFADDR:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV4_MROUTE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV4_ROUTE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV4_RULE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV6_IFADDR:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV6_IFINFO:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV6_MROUTE:I|,||,||,||,||,||
|Landroid/system/OsConstants;->RTMGRP_IPV6_PREFIX:I|,||,||,||,||,||
