signature,maxTargetSdk,publicAlternatives,trackingBug
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getAlpnSelectedProtocol()[B|,|29|,|Use {@code javax.net.ssl.SSLSocket#getApplicationProtocol()}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getApplicationProtocols()[Ljava/lang/String;|,|29|,|Use {@code javax.net.ssl.SSLParameters#getApplicationProtocols()}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getChannelId()[B|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostname()Ljava/lang/String;|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getHostnameOrIP()Ljava/lang/String;|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getNpnSelectedProtocol()[B|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->getSoWriteTimeout()I|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([B)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setApplicationProtocols(java.lang.String[])}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setAlpnProtocols([Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setApplicationProtocols(java.lang.String[])}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setApplicationProtocols([Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setApplicationProtocols(java.lang.String[])}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdEnabled(Z)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setChannelIdPrivateKey(Ljava/security/PrivateKey;)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHandshakeTimeout(I)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setHostname(Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setServerNames}.|,||
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setNpnProtocols([B)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setSoWriteTimeout(I)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/AbstractConscryptSocket;->setUseSessionTickets(Z)V|,|29|,|Use {@link android.net.ssl.SSLSockets#setUseSessionTickets}.|,||
|Lcom/android/org/conscrypt/ClientSessionContext;->getSession(Ljava/lang/String;I)Lcom/android/org/conscrypt/NativeSslSession;|,||,||,||
|Lcom/android/org/conscrypt/ClientSessionContext;->setPersistentCache(Lcom/android/org/conscrypt/SSLClientSessionCache;)V|,||,||,||
|Lcom/android/org/conscrypt/ConscryptEngineSocket;->setHostname(Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setServerNames}.|,||
|Lcom/android/org/conscrypt/ConscryptEngineSocket;->setUseSessionTickets(Z)V|,|29|,|Use {@link android.net.ssl.SSLSockets#setUseSessionTickets}.|,||
|Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setHostname(Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setServerNames}.|,||
|Lcom/android/org/conscrypt/ConscryptFileDescriptorSocket;->setUseSessionTickets(Z)V|,|29|,|Use {@link android.net.ssl.SSLSockets#setUseSessionTickets}.|,||
|Lcom/android/org/conscrypt/FileClientSessionCache$Impl;->getSessionData(Ljava/lang/String;I)[B|,||,||,||
|Lcom/android/org/conscrypt/FileClientSessionCache;->usingDirectory(Ljava/io/File;)Lcom/android/org/conscrypt/SSLClientSessionCache;|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->ASN1_TIME_to_Calendar(JLjava/util/Calendar;)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_pack_X509([J)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->ASN1_seq_unpack_X509_bio(J)[J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->BIO_free_all(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_clear_free(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EC_GROUP_new_by_curve_name(Ljava/lang/String;)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EC_POINT_clear_free(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_CTX_new()J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_CIPHER_iv_length(J)I|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_create()J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_CTX_destroy(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_MD_size(J)I|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_free(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_PKEY_new_RSA([B[B[B[B[B[B[B[B)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_cipherbyname(Ljava/lang/String;)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->EVP_get_digestbyname(Ljava/lang/String;)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_PKCS7(JI)[J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_X509(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->PEM_read_bio_X509_CRL(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->RAND_bytes([B)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->RSA_generate_key_ex(I[B)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_CTX_new()J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_cipher(J)Ljava/lang/String;|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_free(J)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_get_time(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_get_version(J)Ljava/lang/String;|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->SSL_SESSION_session_id(J)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_dup(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_ext(JLjava/lang/String;)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_ext_oid(JLjava/lang/String;)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_get_serialNumber(J)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_REVOKED_print(JJ)V|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->X509_supported_extension(J)I|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->create_BIO_InputStream(Lcom/android/org/conscrypt/OpenSSLBIOInputStream;Z)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->create_BIO_OutputStream(Ljava/io/OutputStream;)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->d2i_PKCS7_bio(JI)[J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->d2i_SSL_SESSION([B)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509([B)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509_CRL_bio(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->d2i_X509_bio(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->get_X509_REVOKED_ext_oids(JI)[Ljava/lang/String;|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->get_X509_REVOKED_revocationDate(J)J|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->i2d_PKCS7([J)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->i2d_SSL_SESSION(J)[B|,||,||,||
|Lcom/android/org/conscrypt/NativeCrypto;->i2d_X509_REVOKED(J)[B|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLBIOInputStream;-><init>(Ljava/io/InputStream;Z)V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLBIOInputStream;->getBioContext()J|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLBIOInputStream;->release()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLContextImpl$TLSv12;-><init>()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLContextImpl;-><init>()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLContextImpl;->getPreferred()Lcom/android/org/conscrypt/OpenSSLContextImpl;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLKey;-><init>(J)V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLKey;->fromPrivateKey(Ljava/security/PrivateKey;)Lcom/android/org/conscrypt/OpenSSLKey;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLKey;->getNativeRef()Lcom/android/org/conscrypt/NativeRef$EVP_PKEY;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLKey;->getPublicKey()Ljava/security/PublicKey;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLKeyHolder;->getOpenSSLKey()Lcom/android/org/conscrypt/OpenSSLKey;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLProvider;-><init>()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLRandom;-><init>()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLSocketFactoryImpl;-><init>()V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLSocketFactoryImpl;->sslParameters:Lcom/android/org/conscrypt/SSLParametersImpl;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getAlpnSelectedProtocol()[B|,|29|,|Use {@code javax.net.ssl.SSLSocket#getApplicationProtocol()}.|,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getChannelId()[B|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getHostname()Ljava/lang/String;|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getHostnameOrIP()Ljava/lang/String;|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getNpnSelectedProtocol()[B|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->getSoWriteTimeout()I|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setAlpnProtocols([B)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setApplicationProtocols(java.lang.String[])}.|,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setAlpnProtocols([Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setApplicationProtocols(java.lang.String[])}.|,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setChannelIdEnabled(Z)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setChannelIdPrivateKey(Ljava/security/PrivateKey;)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setHandshakeTimeout(I)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setHostname(Ljava/lang/String;)V|,|29|,|Use {@code javax.net.ssl.SSLParameters#setServerNames}.|,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setNpnProtocols([B)V|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setSoWriteTimeout(I)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/OpenSSLSocketImpl;->setUseSessionTickets(Z)V|,|29|,|Use {@link android.net.ssl.SSLSockets#setUseSessionTickets}.|,||
|Lcom/android/org/conscrypt/OpenSSLX509Certificate;->fromX509PemInputStream(Ljava/io/InputStream;)Lcom/android/org/conscrypt/OpenSSLX509Certificate;|,||,||,||
|Lcom/android/org/conscrypt/OpenSSLX509Certificate;->mContext:J|,||,||,||
|Lcom/android/org/conscrypt/SSLParametersImpl;->getDefault()Lcom/android/org/conscrypt/SSLParametersImpl;|,||,||,||
|Lcom/android/org/conscrypt/SSLParametersImpl;->getDefaultX509TrustManager()Ljavax/net/ssl/X509TrustManager;|,||,||,||
|Lcom/android/org/conscrypt/SSLParametersImpl;->getX509TrustManager()Ljavax/net/ssl/X509TrustManager;|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/SSLParametersImpl;->setEnabledProtocols([Ljava/lang/String;)V|,|30|,||,|170729553|
|Lcom/android/org/conscrypt/SSLParametersImpl;->x509TrustManager:Ljavax/net/ssl/X509TrustManager;|,||,||,||
|Lcom/android/org/conscrypt/TrustManagerImpl;-><init>(Ljava/security/KeyStore;)V|,||,||,||
|Lcom/android/org/conscrypt/TrustManagerImpl;->checkServerTrusted([Ljava/security/cert/X509Certificate;Ljava/lang/String;Ljava/lang/String;)Ljava/util/List;|,||,||,||
|Lcom/android/org/conscrypt/TrustedCertificateStore;-><init>()V|,||,||,||
